0,下列说法正确的是,I的原子半径大于Br，HI比HBr的热稳定性强,P的非金属性强于Si，H3PO4比H2SiO3的酸性强,Al2O3和MgO均可与NaOH溶液反应,SO2和SO3混合气体通入Ba(NO3)2溶液可得到BaSO3和BaSO4,B,正确答案是 B。解析如下：A
114,下列说法正确的是,在沸水中滴加饱和FeCl3溶液；在CuCl2溶液中滴加NaOH溶液，均为生成沉淀的复分解反应,由反应SiO2＋4HF===SiF4＋2H2O，可知SiO2是碱性氧化物,Cl2通入品红溶液中，品红褪色；木炭加入到品红溶液中，振荡，褪色。前者为化学变化，后者为物理变化,由反应CuSO4＋H2S===CuS＋H2SO4，可知酸性H2S＞H2SO4,C,C。解析如下：A选项错误，因为在沸水中滴加饱和FeCl3溶液会生成氢氧化铁胶体，而不是复分解反应生成沉淀；而CuCl2溶液中滴加NaOH溶液生成的是氢氧化铜沉淀，这是复分解反应。B选项错误，因为虽然SiO2与HF反应生成SiF4和水，但这并不能说明SiO2是碱性氧化物。实际上，SiO2是一种两性氧化物。C选项正确，Cl2通入品红溶液中，Cl2具有强氧化性，能够将品红氧化使其褪色，这是一个化学变化；而木炭加入到品红溶液中，由于木炭的吸附作用使品红褪色，这是一个物理变化。D选项错误，CuSO4与H2S反应生成CuS沉淀和H2SO4，这不能直接说明H2S的酸性比H2SO4强，而是说明了H2S可以置换出H2SO4中的氢离子。实际上，H2S的酸性比H2SO4弱。
115,下列过程中颜色变化与化学变化无关的是,浅黄绿色的新制氯水久置后变为无色,银白色的金属铁研磨成铁粉后变成黑色,新切割开的金属钠的表面由银白色迅速变成暗灰色,红棕色的NO2通过装有水的洗气瓶后得到无色气体,B,B
116,下列涉及有机物的性质的说法错误的是,铜丝在酒精灯上加热后，立即伸入无水乙醇中，铜丝恢复成原来的红色,乙烯和聚氯乙烯都能发生加成反应,HNO3能与苯、甲苯、甘油、纤维素等有机物发生反应，常用浓硫酸作催作剂,黄酒中某些微生物使乙醇氧化为乙酸，于是酒就变酸了,B,B
117,化学与材料、生活和环境密切相关，下列有关说法中错误的是,大力实施矿物燃料脱硫脱硝技术，能减少硫、氮氧化物的排放,明矾净水时发生了化学及物理变化，能起到净水作用，而没有杀菌、消毒的作用,某新型航天服材料主要成分是由碳化硅、陶瓷和碳纤维复合而成，它是一种新型无机非金属材料,食品袋中常放有硅胶和铁粉，都能起到干燥的作用,D,D
118,分子式为C5H12O的醇与和它相对分子质量相同的一元羧酸进行酯化反应，生成的酯共有的种数(不考虑立体异构)为,16,15,18,17,A,正确答案是 C
119,化学与社会、生活密切相关。下列对现象或事实的解释正确的是,现象：高温下，工业上用纯碱和石英砂制玻璃。解释：硅酸的酸性强于碳酸。,现象：碳酸钠可用于制造洗涤剂。解释：碳酸钠是碱。,现象：液氨常用作制冷剂。解释：氨很容易液化，液氨汽化时吸收大量的热。,现象：HCl、NH3、CO2都可做喷泉实验。解释：三种气体均极易溶于水。,C,C、D。解析如下：- 选项A错误，因为工业上用纯碱（碳酸钠）和石英砂（二氧化硅）制玻璃的反应实际上是利用了碳酸钠和二氧化硅在高温下反应生成硅酸钠和二氧化碳，反应式为\(Na_2CO_3 + SiO_2 \xrightarrow{高温} Na_2SiO_3 + CO_2↑\)。这里并没有体现硅酸的酸性比碳酸强。- 选项B错误，虽然碳酸钠溶液显碱性，但它不是碱，而是盐。- 选项C正确，液氨作为制冷剂是因为它容易液化，在蒸发时能吸收大量热量，从而达到制冷的效果。- 选项D正确，HCl、NH3、CO2都极易溶于水，这是它们能形成喷泉实验的原因之一。
120,化学与生产、生活密切相关，下列说法正确的是,明矾作为净水剂，可以除去废水中的铜离子,焰火的五彩缤纷是某些金属元素化学性质的展现,过氧化钠可用作呼吸面具中的供氧剂,用活性炭为糖脱色和用臭氧漂白纸浆的原理相似,C,C
121,能正确解释下列反应原理，并且书写正确的离子方程式是,向该溶液中滴入少量FeSO4溶液，反应的离子方程式为2Fe2＋＋ClO－＋2H^＋===Cl^－＋2Fe^3＋＋H2O,用明矾作净水剂：Al3＋＋3H2O===Al(OH)3＋3H^＋,用稀硫酸去除铜器表面的Cu2(OH)2CO3：Cu2(OH)2CO3＋4H＋===2Cu2＋＋CO2＋3H2O,用小苏打治疗胃酸过多：CO＋2H^＋===CO2＋H2O,C,C。解析如下：A选项中的离子方程式不完全正确，因为氯气(Cl2)应该是在这个反应中生成的产物，而不是氯离子(Cl^-)。正确的离子方程式应该是：2Fe^2+ + ClO^- + 2H^+ === Cl2↑ + 2Fe^3+ + H2O。B选项中的离子方程式错误，因为明矾（KAl(SO4)2·12H2O）在水中解离出的Al^3+与水中的OH^-结合形成Al(OH)3沉淀，但是不会直接产生H^+。正确的过程应为Al^3+ + 3H2O ⇌ Al(OH)3 (沉淀) + 3H^+，不过通常描述为Al^3+ + 3H2O === Al(OH)3↓ + 3H^+，注意这里生成的是Al(OH)3沉淀而非溶解的Al(OH)3。C选项中的离子方程式是正确的，用于表示Cu2(OH)2CO3与稀硫酸反应生成Cu2+、CO2气体和H2O的过程。D选项中的离子方程式错误，因为小苏打（碳酸氢钠NaHCO3）与胃酸（主要成分是盐酸HCl）反应的正确离子方程式应该是：HCO3^- + H^+ === CO2↑ + H2O，而不是给出的形式。
122,设NA表示阿伏加德罗常数的值，下列说法正确的是,4.6 g Na完全转化成Na2O和Na2O2的混合物，转移的电子数为0.2NA,常温常压下，22.4 L的NO2和CO2混合气体含有2NA个O原子,标准状况下，1.12 L HCl与1.12 L NH3混合，气体分子总数为0.1NA,18 g ^18 O2中含有的中子数为8NA,A,A
123,下列说法不正确的是,足量的NaHSO3溶液和Na2CO3溶液混合后能产生CO2气体，若向Na2CO3溶液中通入足量SO2气体，也可得到CO2,pH＝5的H2S溶液中，c(H＋)＝c(HS－)＝1×10－5mol·L^－1,室温下，将0.05 mol Na2CO3固体溶于水配成100 mL溶液，向溶液中加入0.05 mol CaO，则溶液中增大,25 °C和100 °C时H2O的Kw，前者数值小于后者,B,B解析：A选项描述的现象是正确的。NaHSO3与Na2CO3反应可以生成CO2，同样地，通入足量的SO2到Na2CO3溶液中也会产生CO2。B选项描述的是pH=5的H2S溶液中的离子浓度关系。对于二元弱酸H2S，其第一步电离产生的HS-浓度远大于第二步电离产生的S2-浓度，并且pH=5时[H+] = 1×10^-5 mol·L^-1，但HS-的浓度不会等于[H+]，因为HS-还会进一步电离为H+和S2-。因此，该选项的说法不完全准确。C选项描述的是室温下，将一定量的Na2CO3固体溶解在水中后，再加入等摩尔的CaO的情况。由于CaO会与水反应生成Ca(OH)2，进而与Na2CO3反应生成碳酸钙沉淀，溶液中的CO3^2-浓度会减少，但题干提到“溶液中增大”，这可能是表述上的误导或错误，但从反应机理来看，CO3^2-的实际浓度应该是减小的。D选项描述了不同温度下水的离子积Kw的变化情况。水的离子积Kw随着温度升高而增大，因此25°C时的Kw确实小于100°C时的Kw。所以，D选项是正确的描述。综合分析，B选项的说法是不正确的。
124,某合作学习小组讨论辨析：a生活中使用的漂白粉和肥皂都是混合物；b碳酸钠、氢氧化钡、氯化铵、过氧化钠都属于离子化合物；c蔗糖、硝酸钾和硫酸钡分别属于非电解质、强电解质和弱电解质；d醋酸、烧碱、纯碱和生石灰分别属于酸、碱、盐和氧化物；e水玻璃、有色玻璃和果冻都是胶体；f汽油属于混合物，而液氯、冰醋酸均属于纯净物；g烟、雾、豆浆都是胶体。上述说法正确的是,bdeg,cdef,abdfg,abceg,C,C
125,晚唐诗人李商隐的《无题·相见时难别亦难》中写出“春蚕到死丝方尽，蜡炬成灰泪始干”，下列说法正确的是,蚕丝属于纤维素,蜡烛的主要成分是石蜡，属于混合物,“泪”是指石蜡燃烧生成的水,蚕丝和石蜡完全燃烧所得产物相同,B,B
126,a、b、c、d为短周期元素，a的M电子层有1个电子，b的最外层电子数为内层电子数的2倍，c的最高化合价为最低化合价绝对值的3倍，c与d同周期，d的原子半径小于c。下列叙述错误的是,d元素的非金属性最强,只有a与其他元素生成的化合物都是离子化合物,b、c、d分别与氢形成的化合物中化学键均为极性共价键,它们均存在两种或两种以上的氧化物,C,B解析：- a的M电子层有1个电子，说明a是第3周期的Li（锂）。- b的最外层电子数为内层电子数的2倍，符合条件的只有C（碳），因为C的最外层有4个电子，是次内层2个电子的2倍。- c的最高化合价为最低化合价绝对值的3倍，c与d同周期且d的原子半径小于c，符合这些条件的是S（硫）和Cl（氯）。因为S的最高正价+6，最低负价-2，绝对值之比为3；Cl的最高正价+7，最低负价-1，绝对值之比也为7。- 现在我们分析选项：  - A
127,立德粉ZnS·BaSO4（也称锌钡白），是一种常用白色颜料，灼烧立德粉样品时，钡的焰色为,黄色,紫色,红色,绿色,D,D
128,化学与生活密切相关。下列叙述错误的是,铝合金大量用于高铁建设,活性炭具有除异味和杀菌作用,高纯硅可用于制作光感电池,碘酒可用于皮肤外用消毒,B,B
129,我国清代《本草纲目拾遗》中记载药物“鼻冲水”，写道：“贮以玻璃瓶，紧塞其口，勿使泄气，则药力不减，气甚辛烈，触人脑，非有病不可嗅，……，虚弱者忌之。宜外用，勿服。……”这里的“鼻冲水”是指,明矾水,氨水,硝酸,卤水,B,B
130,化学与生活密切相关，下列说法正确的是,大量使用薪柴为燃料，实现低碳生活,用K2FeO4代替Cl2处理饮用水，既有杀菌消毒作用，又有净水作用,CO2、NO2或SO2的排放是形成酸雨的主要原因,使用填埋法处理未经分类的生活垃圾,B,B
131,早在古代，我国人民就积累了不少对化学物质变化的认识。例如，晋代炼丹家、医学家葛洪所著《抱朴子》一书中记载有“丹砂烧之成水银，积变又成丹砂”。这句话中的丹砂指的是HgS，下列关于这句话的说法正确的是,“丹砂烧之成水银”过程中还可能产生SO2,这个过程是可逆反应,这个过程发生了复分解反应,这个过程只涉及物理变化,A,A
